사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6421498,2018040,1117012800,11170003  ,서울특별시 용산구3,서울특별시 용산구 한강로3가(풍산교회 부근),5,5,0,2,3,0,126.9690714,37.52128839,"{""type"":""Polygon"",""coordinates"":[[[126.97176635,37.52128839],[126.97171457,37.5208714],[126.97156121,37.52047043],[126.97131217,37.52010089],[126.97097702,37.51977698],[126.97056864,37.51951116],[126.97010272,37.51931364],[126.96959716,37.519192],[126.9690714,37.51915093],[126.96854565,37.519192],[126.96804009,37.51931364],[126.96757417,37.51951116],[126.96716579,37.51977698],[126.96683064,37.52010089],[126.9665816,37.52047043],[126.96642824,37.5208714],[126.96637646,37.52128839],[126.96642824,37.52170539],[126.9665816,37.52210635],[126.96683064,37.52247588],[126.96716579,37.52279977],[126.96757417,37.52306558],[126.96804009,37.5232631],[126.96854565,37.52338473],[126.9690714,37.5234258],[126.96959716,37.52338473],[126.97010272,37.5232631],[126.97056864,37.52306558],[126.97097702,37.52279977],[126.97131217,37.52247588],[126.97156121,37.52210635],[126.97171457,37.52170539],[126.97176635,37.52128839]]]}"
6422119,2018040,1117013600,11170004  ,서울특별시 용산구4,서울특별시 용산구 보광동(81번종점 부근),3,7,0,4,3,0,126.9994096,37.52772576,"{""type"":""Polygon"",""coordinates"":[[[127.00210459,37.52772576],[127.00205281,37.5273088],[127.00189945,37.52690786],[127.00165041,37.52653836],[127.00131526,37.52621448],[127.00090688,37.52594868],[127.00044095,37.52575117],[126.9999354,37.52562955],[126.99940964,37.52558848],[126.99888389,37.52562955],[126.99837833,37.52575117],[126.99791241,37.52594868],[126.99750403,37.52621448],[126.99716888,37.52653836],[126.99691984,37.52690786],[126.99676648,37.5273088],[126.9967147,37.52772576],[126.99676648,37.52814271],[126.99691984,37.52854364],[126.99716888,37.52891314],[126.99750403,37.52923701],[126.99791241,37.5295028],[126.99837833,37.52970029],[126.99888389,37.52982191],[126.99940964,37.52986298],[126.9999354,37.52982191],[127.00044095,37.52970029],[127.00090688,37.5295028],[127.00131526,37.52923701],[127.00165041,37.52891314],[127.00189945,37.52854364],[127.00205281,37.52814271],[127.00210459,37.52772576]]]}"
6427504,2018040,1117013100,11170005  ,서울특별시 용산구5,서울특별시 용산구 한남동(이태원호텔 부근),3,5,0,1,4,0,126.9975795,37.53552774,"{""type"":""Polygon"",""coordinates"":[[[127.00027446,37.53552774],[127.00022268,37.53511083],[127.00006932,37.53470993],[126.99982028,37.53434046],[126.99948513,37.53401662],[126.99907674,37.53375085],[126.99861082,37.53355336],[126.99810527,37.53343175],[126.99757951,37.53339068],[126.99705375,37.53343175],[126.9965482,37.53355336],[126.99608228,37.53375085],[126.9956739,37.53401662],[126.99533875,37.53434046],[126.99508971,37.53470993],[126.99493635,37.53511083],[126.99488457,37.53552774],[126.99493635,37.53594465],[126.99508971,37.53634554],[126.99533875,37.536715],[126.9956739,37.53703883],[126.99608228,37.53730459],[126.9965482,37.53750207],[126.99705375,37.53762368],[126.99757951,37.53766474],[126.99810527,37.53762368],[126.99861082,37.53750207],[126.99907674,37.53730459],[126.99948513,37.53703883],[126.99982028,37.536715],[127.00006932,37.53634554],[127.00022268,37.53594465],[127.00027446,37.53552774]]]}"
6421499,2018040,1120011500,11200001  ,서울특별시 성동구1,서울특별시 성동구 성수동2가(화양4거리 부근),5,7,1,4,2,0,127.0653209,37.54835509,"{""type"":""Polygon"",""coordinates"":[[[127.06801584,37.54835509],[127.06796405,37.54793825],[127.0678107,37.54753742],[127.06756166,37.54716802],[127.0672265,37.54684423],[127.06681812,37.5465785],[127.0663522,37.54638105],[127.06584665,37.54625946],[127.06532089,37.5462184],[127.06479513,37.54625946],[127.06428958,37.54638105],[127.06382366,37.5465785],[127.06341528,37.54684423],[127.06308012,37.54716802],[127.06283108,37.54753742],[127.06267773,37.54793825],[127.06262594,37.54835509],[127.06267773,37.54877193],[127.06283108,37.54917275],[127.06308012,37.54954215],[127.06341528,37.54986592],[127.06382366,37.55013164],[127.06428958,37.55032908],[127.06479513,37.55045067],[127.06532089,37.55049172],[127.06584665,37.55045067],[127.0663522,37.55032908],[127.06681812,37.55013164],[127.0672265,37.54986592],[127.06756166,37.54954215],[127.0678107,37.54917275],[127.06796405,37.54877193],[127.06801584,37.54835509]]]}"
6424309,2018040,1120010900,11200002  ,서울특별시 성동구2,서울특별시 성동구 금호동1가(금호벽산아파트 부근),4,6,0,2,4,0,127.0244953,37.55369241,"{""type"":""Polygon"",""coordinates"":[[[127.02719026,37.55369241],[127.02713848,37.5532756],[127.02698512,37.5528748],[127.02673608,37.55250543],[127.02640093,37.55218166],[127.02599255,37.55191595],[127.02552663,37.55171851],[127.02502107,37.55159693],[127.02449532,37.55155588],[127.02396956,37.55159693],[127.023464,37.55171851],[127.02299808,37.55191595],[127.0225897,37.55218166],[127.02225455,37.55250543],[127.02200551,37.5528748],[127.02185215,37.5532756],[127.02180037,37.55369241],[127.02185215,37.55410923],[127.02200551,37.55451002],[127.02225455,37.55487938],[127.0225897,37.55520314],[127.02299808,37.55546883],[127.023464,37.55566626],[127.02396956,37.55578784],[127.02449532,37.55582889],[127.02502107,37.55578784],[127.02552663,37.55566626],[127.02599255,37.55546883],[127.02640093,37.55520314],[127.02673608,37.55487938],[127.02698512,37.55451002],[127.02713848,37.55410923],[127.02719026,37.55369241]]]}"
6424311,2018040,1120011400,11200003  ,서울특별시 성동구3,서울특별시 성동구 성수동1가(덕마주유소 부근),4,4,0,2,2,0,127.0443918,37.54964587,"{""type"":""Polygon"",""coordinates"":[[[127.04708673,37.54964587],[127.04703494,37.54922904],[127.04688159,37.54882822],[127.04663255,37.54845882],[127.04629739,37.54813504],[127.04588901,37.54786932],[127.04542309,37.54767187],[127.04491754,37.54755028],[127.04439178,37.54750922],[127.04386602,37.54755028],[127.04336047,37.54767187],[127.04289455,37.54786932],[127.04248617,37.54813504],[127.04215101,37.54845882],[127.04190197,37.54882822],[127.04174862,37.54922904],[127.04169683,37.54964587],[127.04174862,37.55006271],[127.04190197,37.55046352],[127.04215101,37.55083291],[127.04248617,37.55115668],[127.04289455,37.55142239],[127.04336047,37.55161983],[127.04386602,37.55174141],[127.04439178,37.55178246],[127.04491754,37.55174141],[127.04542309,37.55161983],[127.04588901,37.55142239],[127.04629739,37.55115668],[127.04663255,37.55083291],[127.04688159,37.55046352],[127.04703494,37.55006271],[127.04708673,37.54964587]]]}"
6421844,2018040,1120011400,11200004  ,서울특별시 성동구4,서울특별시 성동구 성수동1가(두산식품동부영업소 부근),4,4,0,1,1,2,127.0484122,37.54128137,"{""type"":""Polygon"",""coordinates"":[[[127.05110716,37.54128137],[127.05105538,37.54086449],[127.05090202,37.54046362],[127.05065298,37.54009418],[127.05031783,37.53977036],[127.04990945,37.53950461],[127.04944353,37.53930714],[127.04893798,37.53918554],[127.04841222,37.53914448],[127.04788646,37.53918554],[127.04738091,37.53930714],[127.04691499,37.53950461],[127.0465066,37.53977036],[127.04617145,37.54009418],[127.04592241,37.54046362],[127.04576906,37.54086449],[127.04571727,37.54128137],[127.04576906,37.54169825],[127.04592241,37.5420991],[127.04617145,37.54246853],[127.0465066,37.54279234],[127.04691499,37.54305808],[127.04738091,37.54325554],[127.04788646,37.54337714],[127.04841222,37.5434182],[127.04893798,37.54337714],[127.04944353,37.54325554],[127.04990945,37.54305808],[127.05031783,37.54279234],[127.05065298,37.54246853],[127.05090202,37.5420991],[127.05105538,37.54169825],[127.05110716,37.54128137]]]}"
6424310,2018040,1120010200,11200005  ,서울특별시 성동구5,서울특별시 성동구 하왕십리동(성동구중구경계5 부근),3,10,0,3,7,0,127.0253049,37.56524179,"{""type"":""Polygon"",""coordinates"":[[[127.02799981,37.56524179],[127.02794803,37.56482505],[127.02779467,37.56442431],[127.02754563,37.56405499],[127.02721048,37.56373127],[127.0268021,37.56346561],[127.02633618,37.5632682],[127.02583062,37.56314664],[127.02530486,37.56310559],[127.02477911,37.56314664],[127.02427355,37.5632682],[127.02380763,37.56346561],[127.02339925,37.56373127],[127.0230641,37.56405499],[127.02281506,37.56442431],[127.0226617,37.56482505],[127.02260992,37.56524179],[127.0226617,37.56565854],[127.02281506,37.56605927],[127.0230641,37.56642858],[127.02339925,37.56675228],[127.02380763,37.56701794],[127.02427355,37.56721534],[127.02477911,37.56733689],[127.02530486,37.56737794],[127.02583062,37.56733689],[127.02633618,37.56721534],[127.0268021,37.56701794],[127.02721048,37.56675228],[127.02754563,37.56642858],[127.02779467,37.56605927],[127.02794803,37.56565854],[127.02799981,37.56524179]]]}"
6427505,2018040,1121510100,11215001  ,서울특별시 광진구1,서울특별시 광진구 중곡동(군자역 부근),3,3,0,1,1,1,127.0797345,37.55749942,"{""type"":""Polygon"",""coordinates"":[[[127.08242945,37.55749942],[127.08237767,37.55708263],[127.08222431,37.55668185],[127.08197527,37.55631249],[127.08164012,37.55598874],[127.08123174,37.55572305],[127.08076582,37.55552562],[127.08026026,37.55540404],[127.0797345,37.55536299],[127.07920875,37.55540404],[127.07870319,37.55552562],[127.07823727,37.55572305],[127.07782889,37.55598874],[127.07749374,37.55631249],[127.0772447,37.55668185],[127.07709134,37.55708263],[127.07703956,37.55749942],[127.07709134,37.55791621],[127.0772447,37.55831698],[127.07749374,37.55868633],[127.07782889,37.55901006],[127.07823727,37.55927575],[127.07870319,37.55947317],[127.07920875,37.55959474],[127.0797345,37.55963579],[127.08026026,37.55959474],[127.08076582,37.55947317],[127.08123174,37.55927575],[127.08164012,37.55901006],[127.08197527,37.55868633],[127.08222431,37.55831698],[127.08237767,37.55791621],[127.08242945,37.55749942]]]}"
6422092,2018040,1123011000,11230001  ,서울특별시 동대문구1,서울특별시 동대문구 이문동(외국어대 부근),5,5,0,1,3,1,127.0604951,37.59635433,"{""type"":""Polygon"",""coordinates"":[[[127.06319,37.59635433],[127.06313822,37.59593776],[127.06298486,37.59553719],[127.06273582,37.59516802],[127.06240067,37.59484444],[127.06199228,37.59457889],[127.06152636,37.59438156],[127.06102081,37.59426005],[127.06049505,37.59421902],[127.05996929,37.59426005],[127.05946374,37.59438156],[127.05899782,37.59457889],[127.05858944,37.59484444],[127.05825429,37.59516802],[127.05800525,37.59553719],[127.05785189,37.59593776],[127.05780011,37.59635433],[127.05785189,37.5967709],[127.05800525,37.59717146],[127.05825429,37.59754062],[127.05858944,37.59786419],[127.05899782,37.59812973],[127.05946374,37.59832705],[127.05996929,37.59844855],[127.06049505,37.59848958],[127.06102081,37.59844855],[127.06152636,37.59832705],[127.06199228,37.59812973],[127.06240067,37.59786419],[127.06273582,37.59754062],[127.06298486,37.59717146],[127.06313822,37.5967709],[127.06319,37.59635433]]]}"
