,Unnamed: 0,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,lat,lon,geometry
65,669,2007071000100441,2007년 7월 10일 16시,화요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,43세,상해없음,자전거,남,7,경상,37.19008757544629,127.04322799917205,"(37.19008757544629, 127.04322799917205)"
66,681,2007101000100346,2007년 10월 10일 17시,수요일,경기도 오산시 내삼미동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,기타불명,기타불명,기타불명,자전거,남,6,경상,37.17588700928157,127.05959016701568,"(37.17588700928157, 127.05959016701568)"
67,690,2007121400100309,2007년 12월 14일 16시,금요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,18세,상해없음,자전거,남,11,중상,37.153442894584174,127.0736969643449,"(37.153442894584174, 127.0736969643449)"
68,1,2017030600100321,2017년 3월 6일 15시,월요일,경기도 오산시 금암동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,54세,상해없음,보행자,남,9,부상신고,37.17551586284096,127.04997622400856,"(37.17551586284096, 127.04997622400856)"
69,2,2017030600100420,2017년 3월 6일 18시,월요일,경기도 오산시 원동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,48세,상해없음,보행자,여,12,중상,37.13618962538053,127.08254379980262,"(37.13618962538053, 127.08254379980262)"
70,6,2017040400100369,2017년 4월 4일 17시,화요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,여,10,경상,37.159034191667104,127.0762966947377,"(37.159034191667104, 127.0762966947377)"
71,8,2017041700100095,2017년 4월 17일 08시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,46세,상해없음,보행자,여,8,경상,37.14164722529035,127.07579186380812,"(37.14164722529035, 127.07579186380812)"
72,10,2017042800100190,2017년 4월 28일 09시,금요일,경기도 오산시 고현동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,41세,상해없음,보행자,남,3,중상,37.13405731656563,127.08138179314614,"(37.13405731656563, 127.08138179314614)"
73,13,2017050300100317,2017년 5월 3일 15시,수요일,경기도 오산시 청호동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,보행자,남,9,경상,37.13016900335244,127.08581599770378,"(37.13016900335244, 127.08581599770378)"
74,18,2017051400100198,2017년 5월 14일 12시,일요일,경기도 오산시 세교동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,6,중상,37.1832527036428,127.0432292410534,"(37.1832527036428, 127.0432292410534)"
75,19,2017051700100511,2017년 5월 17일 19시,수요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,보행자,남,8,경상,37.1515322969525,127.07639933553968,"(37.1515322969525, 127.07639933553968)"
76,24,2017062100100387,2017년 6월 21일 17시,수요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,기타 - 기타,자전거,남,14세,기타불명,보행자,여,10,경상,37.17515612185039,127.0502147629734,"(37.17515612185039, 127.0502147629734)"
77,25,2017062300100140,2017년 6월 23일 08시,금요일,경기도 오산시 세교동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,46세,상해없음,보행자,남,12,부상신고,37.18624993375972,127.03518649724364,"(37.18624993375972, 127.03518649724364)"
78,27,2017070900100303,2017년 7월 9일 17시,일요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,64세,상해없음,보행자,남,9,경상,37.14517155849055,127.07059192786984,"(37.14517155849055, 127.07059192786984)"
79,35,2017082100100347,2017년 8월 21일 15시,월요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,보행자,여,12,중상,37.157351982861854,127.0773752302004,"(37.157351982861854, 127.0773752302004)"
80,40,2017091100100573,2017년 9월 11일 20시,월요일,경기도 오산시 오산동,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,남,8,부상신고,37.15589427211716,127.07820473135034,"(37.15589427211716, 127.07820473135034)"
81,43,2017092200100165,2017년 9월 22일 08시,금요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,보행자,남,6,중상,37.149627284218994,127.06853110885824,"(37.149627284218994, 127.06853110885824)"
82,45,2017092900100614,2017년 9월 29일 18시,금요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,19세,상해없음,보행자,남,5,경상,37.13865442183257,127.07360865806176,"(37.13865442183257, 127.07360865806176)"
83,49,2017102000100475,2017년 10월 20일 16시,금요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,64세,상해없음,보행자,남,11,경상,37.13705812570856,127.07840473460308,"(37.13705812570856, 127.07840473460308)"
84,56,2017122300100311,2017년 12월 23일 12시,토요일,경기도 오산시 부산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,보행자,여,10,경상,37.14839582089469,127.08416701360773,"(37.14839582089469, 127.08416701360773)"
